时间,公司名称,公司名称链接,行业,轮次,金额,投资方,最新估值(估算),字段1,字段2,字段3
2016-10-12,学乐云教学,https://www.itjuzi.com/company/20891,C轮,2亿美元,新天域资本金沙江创投,52亿人民币,教育,教育信息化,教育软件,
2016-10-11,译口英语,https://www.itjuzi.com/company/22760819,天使轮,未透露,旷谷资本,500万人民币,教育,语言学习,,
2016-10-11,必胜公考,https://www.itjuzi.com/company/83675,天使轮,600万人民币,天使百人会,3000万人民币,教育,其他教育,录播,
2016-10-10,达盛科技,https://www.itjuzi.com/company/47168,A轮,数千万人民币,朗玛峰创投（领投）,1亿人民币,教育,教育信息化,数字化教辅教材,
2016-10-10,心呼吸,https://www.itjuzi.com/company/38281,天使轮,未透露,齐观投资,500万人民币,教育,职业培训,科研学术,
2016-10-9,KOOH Sports,https://www.itjuzi.com/company/45152,天使轮,220万美元,Faering CapitalHDFCElevate Sports,7150万人民币,教育,素质教育,体育运动,
2016-10-9,51CTO,https://www.itjuzi.com/company/1657,B轮,1亿人民币,华开资本（领投）,5亿人民币,教育,职业培训,垂直媒体,
2016-10-8,奥本未来,https://www.itjuzi.com/company/45112,天使轮,数百万人民币,水木资本（领投）清源德丰(清源创投)泰有投资,1500万人民币,教育,素质教育,VR/AR技术,
2016-10-1,NUADU,https://www.itjuzi.com/company/33400635,种子轮,50万欧元,未透露,1950万人民币,教育,教育信息化,职场技能培训,
2016-10-1,DAKA,https://www.itjuzi.com/company/32139904,天使轮,未透露,创新工场,500万人民币,教育,语言学习,,
2016-10-1,孩盟国际,https://www.itjuzi.com/company/61289,天使轮,1000万人民币,李治国阿米巴资本,5000万人民币,教育,儿童早教,素质教育,
2016-10-1,留学快问,https://www.itjuzi.com/company/53862,天使轮,未透露,海朋资本,500万人民币,教育,出国留学,教育媒体及社区,
2016-10-1,学问Live,https://www.itjuzi.com/company/53349,天使轮,500万人民币,有米广告中科招商分众传媒米汇口袋兼职APP...,2500万人民币,教育,高等教育,大学教育,
2016-9-30,趣直播,https://www.itjuzi.com/company/60241,种子轮,100万人民币,未透露,500万人民币,教育,职业培训,直播,
2016-9-30,CodeSpark,https://www.itjuzi.com/company/45022,种子轮,410万美元,Kapor CapitalIdealabFelton GroupNewGen CapitalPGA Venture Partners...,1.33亿人民币,教育,儿童早教,素质教育,
2016-9-29,师说,https://www.itjuzi.com/company/46839,天使轮,数百万人民币,雷雨资本(微投VChello)湖南高新创投集团麓谷高新创投,2000万人民币,教育,教育信息化,教育SaaS,
2016-9-29,玻尔科技,https://www.itjuzi.com/company/45001,种子轮,100万人民币,未透露,500万人民币,教育,其他教育,VR技术,
2016-9-29,OpenSesame,https://www.itjuzi.com/company/11722,B轮,900万美元,Altos VenturesPartech Ventures,2.92亿人民币,教育,教育综合服务,视频,
2016-9-29,掌门1对1,https://www.itjuzi.com/company/23347,C轮,亿元及以上人民币,华兴新经济基金顺为资本达晨创投华兴Alpha（财务顾问）...,5亿人民币,教育,K12,连续获投,
2016-9-27,阳光雨露,https://www.itjuzi.com/company/32768511,A+轮,未透露,东方邦信创投,1亿人民币,教育,教育综合服务,高等教育,
2016-9-27,千聊,https://www.itjuzi.com/company/55636,A轮,数百万美元,亦联资本(YY多玩)（领投）,9750万人民币,教育,教育信息化,直播,
